fragment_ID,species,date,time,site,depth_m,temp_C,collector,old_tag,intake_reflectance?,status,status_date,tank,treatment,sample_time,notes
cave-ssid09-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.5,25,HML,na,NA,PB,2026-05-26T00:00:00Z,5,control,T3,NA
cave-ssid15-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1999999999999993,25,HML,na,NA,PD,2026-05-26T00:00:00Z,8,+4C,T1,NA
cave-ssid02-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1,26,NIR,na,NA,H,2026-05-26T00:00:00Z,2,control,T5,NA
cave-ssid11-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.2,25,HML,na,NA,H,2026-05-26T00:00:00Z,4,+4C,T5,NA
cave-ssid21-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.7,26,NIR,na,NA,H,2026-05-26T00:00:00Z,4,+4C,T4,NA
cave-ssid04-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.7,26,NIR,na,NA,H,2026-05-26T00:00:00Z,11,+4C,T2,NA
cave-ssid28-04162026,ssid,2026-04-16,0.59097222222222223,Caves,7.7,25,HML,na,NA,H,2026-05-26T00:00:00Z,12,+2C,T5,NA
cave-ssid01-04162026,ssid,2026-04-16,0.59097222222222223,Caves,8.1,26,NIR,na,NA,H,2026-05-26T00:00:00Z,2,control,T3,NA
DB-sid14-051426,ssid,2026-05-14,na,Dania,9.1,27,HML,na,NA,P,2026-05-26T00:00:00Z,11,+4C,T2,NA
DB-sid22-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,8,+4C,T4,NA
DB-sid16-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,12,+2C,T1,NA
DB-sid19-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,4,+4C,T5,NA
DB-sid33-051426,ssid,2026-05-14,na,Dania,9,27,HML,na,NA,P,2026-05-26T00:00:00Z,6,+2C,T5,NA
