"fragment_ID","species","date","time","site","depth_m","temp_C","collector","old_tag","intake_reflectance?","status","status_date","tank","treatment","sample timepoint","notes"
"EMERALD-sid03-052026","ssid",2026-05-20,"na","Emerald Reef","7.8","28","HML","na",NA,"P",2026-05-26,6,"+2C","TP4",NA
"EMERALD-sid19-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","VRR","na",NA,"H",2026-05-26,8,"+4C","TP2",NA
"EMERALD-sid34-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","VRR","na",NA,"P",2026-05-26,12,"+2C","TP4",NA
"EMERALD-sid16-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","HML","na",NA,"P",2026-05-26,5,"control","TP1",NA
"EMERALD-sid15-052026","ssid",2026-05-20,"na","Emerald Reef","7.4","28","HML","na",NA,"P",2026-05-26,4,"+4C","TP2",NA
"EMERALD-sid31-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","VRR","na",NA,"P",2026-05-26,3,"+2C","TP2",NA
"EMERALD-sid05-052026","ssid",2026-05-20,"na","Emerald Reef","8","28","HML","na",NA,"P",2026-05-26,2,"control","TP4",NA
"EMERALD-sid06-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","HML","na",NA,"P",2026-05-26,10,"control","TP3",NA
"EMERALD-sid08-052026","ssid",2026-05-20,"na","Emerald Reef","7.8","28","HML","na",NA,"P",2026-05-26,1,"+4C","TP1",NA
"EMERALD-sid12-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","HML","na",NA,"P",2026-05-26,7,"control","TP3",NA
"EMERALD-sid20-052026","ssid",2026-05-20,"na","Emerald Reef","7.7","28","HML","na",NA,"P",2026-05-26,11,"+4C","TP5",NA
"EMERALD-sid27-052026","ssid",2026-05-20,"na","Emerald Reef","7.3","28","VRR","na",NA,"P",2026-05-26,9,"+2C","TP3",NA
"EMERALD-sid04-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","HML","na",NA,"P",2026-05-26,6,"+2C","TP5",NA
"EMERALD-sid07-052026","ssid",2026-05-20,"na","Emerald Reef","7.9","28","HML","na",NA,"P",2026-05-26,8,"+4C","TP3",NA
"EMERALD-sid26-052026","ssid",2026-05-20,"na","Emerald Reef","7.6","28","VRR","na",NA,"P",2026-05-26,12,"+2C","TP4",NA
"GRA-sid31-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,5,"control","TP2",NA
"GRA-sid08-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,11,"+4C","TP1",NA
"GRA-sid15-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,3,"+2C","TP2",NA
"GRA-sid14-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"H",2026-05-26,1,"+4C","TP5","two labelled 14? Determine which is which"
"GRA-sid14-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"H",2026-05-26,10,"control","TP2","two labelled 14? Determine which is which"
"GRA-sid35-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,12,"+2C","TP3",NA
"GRA-sid03-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"H",2026-05-26,7,"control","TP1",NA
"GRA-sid01-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"H",2026-05-26,9,"+2C","TP3",NA
"GRA-sid30-051426","ssid",2026-05-14,"na","Graceland","9.4","27","HML","na",NA,"P",2026-05-26,4,"+4C","TP3",NA
"GRA-sid07-051426","ssid",2026-05-14,"na","Graceland","9.5","27","HML","na",NA,"P",2026-05-26,2,"control","TP4",NA
"GRA-sid05-051426","ssid",2026-05-14,"na","Graceland","9.5","27","HML","na",NA,"H",2026-05-26,8,"+4C","TP5",NA
"GRA-sid33-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,5,"control","TP4",NA
"GRA-sid18-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,11,"+4C","TP1",NA
"GRA-sid22-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"H",2026-05-26,3,"+2C","TP2",NA
"GRA-sid32-051426","ssid",2026-05-14,"na","Graceland",NA,"27","ROS","na",NA,"P",2026-05-26,6,"+2C","TP4",NA
"GRA-sid19-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"H",2026-05-26,1,"+4C","TP5",NA
"GRA-sid16-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,10,"control","TP1",NA
"GRA-sid21-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"H",2026-05-26,12,"+2C","TP5",NA
"GRA-sid06-051426","ssid",2026-05-14,"na","Graceland",NA,"27",NA,"na",NA,"H",2026-05-26,7,"control","TP4",NA
"GRA-sid09-051426","ssid",2026-05-14,"na","Graceland","9.5","27","HML","na",NA,"P",2026-05-26,9,"+2C","TP1",NA
"GRA-sid27-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"P",2026-05-26,4,"+4C","TP3",NA
"GRA-sid25-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"P",2026-05-26,2,"control","TP2",NA
"GRA-sid28-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"P",2026-05-26,8,"+4C","TP4",NA
"GRA-sid23-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"H",2026-05-26,5,"control","TP3",NA
"GRA-sid20-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"P",2026-05-26,11,"+4C","TP5",NA
"GRA-sid24-051426","ssid",2026-05-14,"na","Graceland","na","27","ROS","na",NA,"P",2026-05-26,3,"+2C","TP2",NA
"GRA-sid11-051426","ssid",2026-05-14,"na","Graceland","na","27","HML","na",NA,"P",2026-05-26,6,"+2C","TP3",NA
"HB-sid19-051426","ssid",2026-05-14,"na","Hollywood","7.9","28","HML","na",NA,"P",2026-05-26,6,"+2C","TP3",NA
"HB-sid23-051426","ssid",2026-05-14,"na","Hollywood","7.8","28","HML","na",NA,"P",2026-05-26,4,"+4C","TP2",NA
"HB-sid05-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"P",2026-05-26,9,"+2C","TP4",NA
"HB-sid20-051426","ssid",2026-05-14,"na","Hollywood","8","28","HML","na",NA,"H",2026-05-26,12,"+2C","TP5",NA
"HB-sid12-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"H",2026-05-26,3,"+2C","TP1",NA
"HB-sid01-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"H",2026-05-26,1,"+4C","TP3",NA
"HB-sid36-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"H",2026-05-26,11,"+4C","TP5",NA
"HB-sid07-051426","ssid",2026-05-14,"na","Hollywood","7.4","28","HML","na",NA,"P",2026-05-26,8,"+4C","TP2",NA
"HB-sid04-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"H",2026-05-26,7,"control","TP2",NA
"HB-sid08-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"P",2026-05-26,2,"control","TP1",NA
"HB-sid16-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"P",2026-05-26,10,"control","TP4",NA
"HB-sid02-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"P",2026-05-26,5,"control","TP3",NA
"HB-sid11-051426","ssid",2026-05-14,"na","Hollywood","na","28","ROS","na",NA,"H",2026-05-26,6,"+2C","TP1",NA
"JR-sid13-052026","ssid",2026-05-20,"na","JR's Ledge","7.9","28","VRR","na",NA,"P",2026-05-26,4,"+4C","TP3",NA
"JR-sid34-052026","ssid",2026-05-20,"na","JR's Ledge","7.4","28","HML","na",NA,"H",2026-05-26,12,"+2C","TP3",NA
"JR-sid04-052026","ssid",2026-05-20,"na","JR's Ledge","8.1999999999999993","28","VRR","na",NA,"P",2026-05-26,6,"+2C","TP1",NA
"JR-sid24-052026","ssid",2026-05-20,"na","JR's Ledge","7.9","28","VRR","na",NA,"H",2026-05-26,1,"+4C","TP1",NA
"JR-sid05-052026","ssid",2026-05-20,"na","JR's Ledge","7.5","28","HML","na",NA,"P",2026-05-26,2,"control","TP5",NA
